,filt_42,filt_152
. E,0.0038649697774283667,0.08025722385445891
weh,0.020988152396678894,0.009414454114953019
mml,0.0078386212095795,0.019021954281208016
"–‹,",0.0,0.0
mün,0.013395719096822776,0.0022431897207539765
ngm,0.0,0.00021916627883911133
b N,0.03282572329044342,0.0
Häs,0.01205519118907619,0.0017957905281896461
müh,0.020619269011535147,0.003942408127477306
lna,0.01925909694165801,0.00020193756790831685
hge,0.0077578900211752785,0.0023110592909554232
bfi,0.038814681756775826,0.0014060309913475066
Rez,0.00026683908488069264,0.04028062628848212
nuh,0.028837911784648895,0.0
ati,0.02815251085273333,0.005775966383065839
erä,0.010012376304118472,0.009247107704441131
ül.,0.0,0.0
29.,0.04292675107717514,0.02635954599827528
edw,0.02955381707711653,0.007403484736145897
 Ma,0.021810557131541685,0.018843233606783517
b u,0.011292575875765059,0.0005005374582002073
 s.,0.04527916666120291,0.17553586140275002
›Pa,0.061732951551675797,0.010501150041818619
m l,0.016176474545717662,0.006755013784857717
Reu,0.03092785764531028,0.005030320997054621
›Sc,0.0,0.0
»Ze,0.0,0.0
k D,0.0,0.0
nke,0.02636574554836155,0.007938992237092385
ak.,0.0,0.0
Lem,0.03346312791109085,0.0
don,0.017608956003602107,0.029849772604749254
b r,0.006233734211751393,0.025841236114501953
sta,0.027135639889338443,0.008213305574239552
-un,0.0,0.002308889253375431
tsc,0.013626629462649573,0.0041831161024131576
Häß,0.0,0.0
ltm,0.006465264906485875,0.0
Ven,0.019946698826459937,0.03453774615810443
 El,0.055753178103370785,0.006957849650554673
zti,0.0,0.0
acr,0.0,0.0
ys ,0.0,0.0
ill,0.01708212802754718,0.005453257987776899
»..,0.0,0.14486336708068848
 üp,0.0,0.022537018172442913
e.',0.0,0.0
lpt,0.0034563587978482246,0.0
« l,0.004661233267850346,0.001057608495574203
r-R,0.0,0.0
Rat,0.030114756212535242,0.009456581629259908
d W,0.011534128292761866,0.005001571944034151
s e,0.03974443090913044,0.009127659599557383
